Full_flag:  False
Hybrid:  False
1: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.073507 (n_ex=100, eps=0.063, 1.14s)
11: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.068502 (n_ex=100, eps=0.063, 10.33s)
21: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.065318 (n_ex=100, eps=0.063, 18.29s)
31: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.062303 (n_ex=100, eps=0.063, 26.25s)
41: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.059612 (n_ex=100, eps=0.063, 34.19s)
51: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.056960 (n_ex=100, eps=0.063, 42.22s)
61: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.055034 (n_ex=100, eps=0.063, 50.12s)
71: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.053331 (n_ex=100, eps=0.063, 58.08s)
81: acc=100.00% acc_corr=100.00% avg#q_ae=nan med#q=nan, avg_margin=0.052027 (n_ex=100, eps=0.063, 69.52s)
91: acc=98.00% acc_corr=98.00% avg#q_ae=91.00 med#q=91.0, avg_margin=0.050018 (n_ex=100, eps=0.063, 77.67s)
101: acc=98.00% acc_corr=98.00% avg#q_ae=91.00 med#q=91.0, avg_margin=0.048994 (n_ex=100, eps=0.063, 87.95s)
111: acc=98.00% acc_corr=98.00% avg#q_ae=91.00 med#q=91.0, avg_margin=0.047769 (n_ex=100, eps=0.063, 102.73s)
121: acc=97.00% acc_corr=97.00% avg#q_ae=99.33 med#q=92.0, avg_margin=0.046517 (n_ex=100, eps=0.063, 117.12s)
131: acc=96.00% acc_corr=96.00% avg#q_ae=105.75 med#q=104.0, avg_margin=0.045796 (n_ex=100, eps=0.063, 131.38s)
141: acc=95.00% acc_corr=95.00% avg#q_ae=111.20 med#q=116.0, avg_margin=0.044870 (n_ex=100, eps=0.063, 145.39s)
151: acc=95.00% acc_corr=95.00% avg#q_ae=111.20 med#q=116.0, avg_margin=0.043984 (n_ex=100, eps=0.063, 159.45s)
161: acc=95.00% acc_corr=95.00% avg#q_ae=111.20 med#q=116.0, avg_margin=0.043110 (n_ex=100, eps=0.063, 173.47s)
171: acc=95.00% acc_corr=95.00% avg#q_ae=111.20 med#q=116.0, avg_margin=0.042582 (n_ex=100, eps=0.063, 187.71s)
181: acc=94.00% acc_corr=94.00% avg#q_ae=121.83 med#q=120.5, avg_margin=0.041840 (n_ex=100, eps=0.063, 201.69s)
191: acc=94.00% acc_corr=94.00% avg#q_ae=121.83 med#q=120.5, avg_margin=0.040827 (n_ex=100, eps=0.063, 215.77s)
201: acc=94.00% acc_corr=94.00% avg#q_ae=121.83 med#q=120.5, avg_margin=0.040200 (n_ex=100, eps=0.063, 229.98s)
211: acc=94.00% acc_corr=94.00% avg#q_ae=121.83 med#q=120.5, avg_margin=0.039683 (n_ex=100, eps=0.063, 243.91s)
221: acc=94.00% acc_corr=94.00% avg#q_ae=121.83 med#q=120.5, avg_margin=0.039036 (n_ex=100, eps=0.063, 258.15s)
231: acc=94.00% acc_corr=94.00% avg#q_ae=121.83 med#q=120.5, avg_margin=0.038517 (n_ex=100, eps=0.063, 272.02s)
241: acc=94.00% acc_corr=94.00% avg#q_ae=121.83 med#q=120.5, avg_margin=0.038004 (n_ex=100, eps=0.063, 285.83s)
251: acc=93.00% acc_corr=93.00% avg#q_ae=139.71 med#q=125.0, avg_margin=0.037579 (n_ex=100, eps=0.063, 299.70s)
261: acc=93.00% acc_corr=93.00% avg#q_ae=139.71 med#q=125.0, avg_margin=0.036957 (n_ex=100, eps=0.063, 313.42s)
271: acc=92.00% acc_corr=92.00% avg#q_ae=156.25 med#q=129.0, avg_margin=0.036449 (n_ex=100, eps=0.063, 327.18s)
